WORD,DEFINITION
UGIS,Upper Gastro-Intestinal Series
UHT,Ultra High Temperature Pasteurization\n  ; 우유를 88 ℃ 이상에서 순간적(1 sec 이상)으로 가열
UICC,Union Internationale Contrele Cancer
UIP,Usual Interstitial Pneumonia
UK,Uro-Kinase
ULQ,Upper Left Quadrant; 좌측상부 4분의 1
UMN,Upper Motor Neuron
UN,United Nations; 국제연합
UNESCO,"United Nations Educational, Scientific & Cultural Organization; 국제연합교육과학문화기구"
ung.,unguentum; ointment; 연고
UNICEF,United Nations International Children\u0027s Emergency Fund; 국제연합아동구호기금
UNTC,United Nations Trustee Council; 국제 연합신탁통치이사회
UO,Urine Output; 소변량
UP,Uremic Pericarditis
UPI,Utero-Placental Insufficiency
UPJ,Uretero-Pelvic Junction
UPP,Urethral Pressure Profile; 요도 내압
UPPP,Uvulo-Palato-Pharyngo-Plasty
URI,Upper Respiratory Infection; 상기도 감염
LRQ,Left Right Quadrant; 우측상부 4분의 1
URT,Upper Respiratory Tract
US,Ultra-Sonography
USG,Ultra-Sono-Graphy
USO,Unilateral Salping-Oophorectomy
USP,United States Pharmacopeial convention\n  = United States Pharmacopeia; 미국 약전
USP DI,United States Pharmacopeial convention Dispensing Information
USPHS,United States Public Health Service
USR,Unheated Serum Reagin
UTI,Urinary Tract Infection; 비뇨기계 감염
UVA,Ultra Violet A
UVB,Ultra Violet B
UW solution,University of Wisconsin solution
V.,Vibrio\n  V. Cholerae; 콜레라균\n  V. Parahaemolyticus; 장염비브리오\n  V. Proteus\n  V. Vulnificus
VA shunt,Ventriculo-Atrial shunt
VAB-6,"Vinblastine, Actinomycin D, Bleomycin, Cisplatin, Cyclophosphamide"
VAN,"Vein, Artery, Nerve의 순으로"
VAS,Valvular Aortic Stenosis
VAT,1) Ventricular Activation Time\n  2) Video-Assisted Thoracoscopy
VATER Associations,Vertebral defects\n  Anal atresia\n  Tracheo-Esophageal fistula with esophageal atresia\n  Radial &/or Renal dysplasia Associations
VC,Vital Capacity
VCA,Viral Capsid Antigen
VCPI,Virtual Control Program Interface
VCU,Voiding Cysto-Urethrogram\n  = VCUG
VCUG,Voiding Cysto-Urethro-Gram\n  = VCU
"VD, V.D.",Venereal Disease; 성병(性病)
Vd,Volume of Distribution; 분포용적
VDRE,Vitamin D Responsive Element
VDRL,Venereal Disease Research Laboratory; 미국 성병 연구소
VDRL test,Venereal Disease Research Laboratory (slide) test
VE,1) Valve Endocarditis\n  2) Value Edition\n  3) Vaginal Examination
VEB,Ventricular Ectopic Beat\n  = PVC
VEP,Visual Evoked Potential
VER,Visual Evoked Response
Vf,1) Ventricular flutter\n  2) Visual field
VFD,Visual Field Defect
VGA,Video Graphic(s) Array
VH,Ventricular Hypertrophy
VHD,Valvular Heart Disease
VHL,Von Hippel-Lindau Syndrome\n  = Cerebelloretinal Hemangioblastomatosis
VI,Visual Identity
VIC,Volkmann\u0027s Ischemic Contracture
VIP,Vasoactive Intestinal (Poly)Peptide
VLCFA,Very Long Chain Fatty Acids
VLDL,Very Low Density Lipoprotein
VMA,Vanil(Vanillyl)-Mandelic Acid
v.o.,verbal order; 구두지시
VOR,Vestibulo-Ocular Reflex
VP,1) Variegate Porphyria; 발문상 Porphyria\n  2) Viral Protein
VP shunt,Ventriculo-Peritoneal shunt
VP test,Voges-Proskauer test
VPB,Ventricular Premature Beat
VPC,1) Ventricular Premature Contraction\n  2) Vertical Palmar Crease
VPDs,Ventricular Premature Depolarizations
V/S,Vital Signs; 활력증후\n  1. Body Temperature; 체온\n  2. Blood Pressure; 혈압\n  3. Heart Rate; 심박수\n  4. Respiratory; 호흡수
VSC,Voltage Sensitive Channel
VT,Ventricular Tachycardia
VT,Tidal Volume\n  = TV
VUR,Vesico-Urethral(Ureteral) Reflux
VU shunt,Ventriculo-Ureteral shunt
vWD,von Willebrand Disease
vWF,von Willebrand Factor
VZIG,Varicella Zoster Immuno-Globulin; 수두대상 포진 면역 글로불린
VZV,Varicella Zoster Virus
WAIS,Wechsler Adult Intelligence Scale; 웩슬러 성인용 지능 검사
WAGR syndrome,Wilms\u0027s Tumor\n  Aniridia\n  Genital Anomalies\n  Mental Deficiency syndrome
"WBC, wbc","White Blood Cell (Count); 백혈구, 백혈구수"
WBGT index,Wet Bulb Globe Thermometer index\n  = 0.7tw + 0.3k{(tg-ta)oK + ta}\n  ta; 건구온도\n  tg; 흑구온도\n  tw; 습구온도\n  oK; 태양열흡열계수
WDB,Withdrawl Delayed Bleeding
WDHA Syndrome,"Watery Diarrhea, Hypokalemia, Achlorhydria Syndrome\n  = Pancreatic Cholera (Syndrome)\n  = VIPoma\n  = Verner-Morrison Syndrome\n  = Diarrheogenic Syndrome"
WHO,World Health Organization; 세계보건기구
WHO ORS,World Health Organization Oral Rehydration Solution osmolality 330; 세계보건기구 경구 수액 용액
WISC,Wechsler Intelligence Scale for Children; 웩슬러 소아용 지능 검사
WISC-R,Wechsler Intelligence Scale for Children-Revised; 웩슬러 소아용 지능 검사
WNL,Within Normal Limit(?)
WPPSI,Wechsler Preschool & Primary Scale of Intelligence
wrt,with respect to
W/U,Work Up
Xi,inactive X Chromosome
XL,1) X-Linked\n  2) Extra Large
XLP,X-Linked Lymphoproliferative
XLSA,X-Linked Sideroblastic Anemia
YSR,Year Survival Rate
ZDV(= AZT),Zidovudine
ZES,Zollinger-Ellison Syndrome
Z-E Syndrome,Zollinger-Ellison Syndrome
ZIFT,Zygote Intra-Fallopian Transfer
ZIG,Zoster Immuno-Globulin
ZPP,Zinc Proto-Porphyrin
1 cm H2O,= 0.1 kPa;
1 Fr.,= 0.33 mm;
3 Fr.,= 1 mm;
1 inch,"= 1/12 feet, 2.54 cm;"
1 IU = 0.3 μg,= 0.025 μg
1 IU(Vit.D),= 0.0025 μg(Cholecalciferol)
1.4 Kbp,= 1 M Dalton
1 Knot(노트),= 1 해리/Hr = 0.51 m/sec
1 kPa,= 10 cm H2O
1 lb,"파운드; 무게의 단위;\n  1. 상형(常衡); 16 ounces, 453 grams\n  2. 금형(金衡); 12 ounces, 373 grams"
1 mmb,= 760 mmHg
1 ng/ml,= 1 μg/L
1 Pint,n) 파인트(액량의 단위)\n  미국; 0.47 L\n  영국; 0.57 L
"1 Telsa = 10,000 Gauss",자석의 세기
SARS,Severe Acute Respiratory Syndrome
Q8H,every 8 hours
QD,once daily
SIRS,Systemic Inflammatory Response Syndrome
MODS,Multiple Organ Dysfunction Syndrome
m/i,most important
m/c,most common
"Abor, abor",abortion
AAAHE,American Association for the Advancement of Health Education
AAAE,amino acid activating enzyme
AA/AD,alcohol abuse/alcohol dependence
AAAD,aromatic amino acid decarboxylase
AAA,abdominal aortic aneurysm/aneurysmectomy; acne-associated arthritis; acquired aplastic anemia; acute anxiety attack; alacrimia-achalasia-addisonianism [syndrome]; American Academy of Addictionology; American Academy of Allergy; American Association of Anatomists; androgenic anabolic agent; aneurysm of ascending aorta; Area Agency on Aging; aromatic amino acid; arrest after arrival
aA,abampere
A&A,aid and attendance; awake and aware
aa,arteries [Lat. arteriae]
A-a,alveolar-atrial
AA,abdominal aorta; acetic acid; achievement age; active alcoholic; active assistive [range of motion]; active avoidance; acupuncture analgesia; adenine arabinoside; adenylic acid; adjuvant arthritis; adrenal androgen; agranulocytic angina; Alcoholics Anonymous; allergic alveolitis; alopecia areata; alveolo-arterial; amino acid; aminoacyl; amyloid A; anticipatory avoidance; antigen aerosol; aortic arch; aplastic anemia; arachidonic acid; arteries; ascending aorta; atlanto-axial; atomic absorption; Australia antigen; autoanalyzer; automobile accident; axonal arborization
"AI, AII, AIII","angiotensin I, II, III"
A2 P2,aortic second sound; pulmonary second sound
A2-OS,"aortic second sound, opening snap"
A2,aortic second sound
A1,aortic first sound
A [band],the dark-staining zone of a striated muscle
AAAI,American Academy of Allergy and Immunology
AAALAC,American Association for Accreditation of Laboratory Animal Care
AAAS,American Association for the Advancement of Science
AAB,American Association of Bioanalysts; aminoazobenzene
AABB,American Association of Blood Banks
AABCC,"alertness (consciousness), airway, breathing, circulation, cervical spine"
AABS,"automobile accident, broadside"
AAC,antibiotic-associated [pseudomembranous] colitis; antimicrobial agent-induced colitis; augmentative and alternative communication
AACA,acylaminocephalosporanic acid
AACC,American Association for Clinical Chemistry
AACCN,American Association of Critical Care Nurses
AACG,acute angle closure glaucoma
AACHP,American Association for Comprehensive Health Planning
AACIA,American Association for Clinical Immunology and Allergy
AACN,American Association of Colleges of Nursing; American Association of Critical-Care Nurses
AACP,American Academy of Cerebral Palsy; American Association of Colleges of Pharmacy
AACPDM,American Academy for Cerebral Palsy and Developmental Medicine
AACSH,adrenal androgen corticotropic stimulating hormone
AACT,American Academy of Clinical Toxicology
AAD,acute agitated delirium; alloxazine adenine dinucleotide; alpha-1-antitrypsin deficiency; American Academy of Dermatology; antibiotic-associated diarrhea; aromatic acid decarboxylase
AADC,amino acid decarboxylase
AADE,American Association of Dental Editors; American Association of Dental Examiners
AADGP,American Academy of Dental Group Practice
AADH,alopecia-anosmia-deafness-hypogonadism [syndrome]
(A-a)DN2,alveolo-arterial nitrogen tension difference
"AADO2, (a-A) DO2",arterio-alveolar oxygen tension difference
AADP,American Academy of Denture Prosthetics; amyloid A-degrading protease
AADPA,American Academy of Dental Practice Administration
AADR,American Academy of Dental Radiology
AADS,American Academy of Dental Schools
AAE,active assistive exercise; acute allergic encephalitis; American Association of Endodontists; annuloaortic ectasia
AAEE,American Association of Electromyography and Electrodiagnosis
AAEM,American Academy of Environmental Medicine; American Association of Electrodiagnostic Medicine
AA ex,active assistive exercise
AAF,acetylaminofluorene; ascorbic acid factor; African American Female
AAFP,American Academy of Family Physicians; American Academy of Family Practice
AAG,3-alkaladenine deoxyribonucleic acid glycosylase; allergic angiitis and granulomatosis; alpha-1-acid glycoprotein; alveolar arterial gradient; autoantigen
AAGL,American Academy of Gynecologic Laparoscopists
AAGP,American Academy of General Practice; American Association for Geriatric Psychiatry
AAHA,American Academy of Hospital Attorneys; American Association of Homes for the Aging
AAHC,American Academy of Healthcare Consultants; Association of Academic Health Centers
AAHD,American Association of Hospital Dentists
AAHE,Association for the Advancement of Health Education
AAHP,American Association of Health Plans
AAHPER,"American Association for Health, Physical Education, and Recreation"
AAHS,American Association for Hand Surgery
AAHSLD,Association of Academic Health Sciences Library Directors
AAI,acute alveolar injury; Adolescent Alienation Index; American Association of Immunologists; atrial inhibited [pacemaker]
AAIB,alpha-1-aminoisobutyrate
AAID,American Academy of Implant Dentures
AAIN,American Association of Industrial Nurses
AAK,allo-activated killer
AAL,anterior axillary line
AALAS,American Association of Laboratory Animal Science
AALL,American Association for Labor Legislation
AAM,acute aseptic meningitis; American Academy of Microbiology; amino acid mixture; African American Male
AAMA,American Academy of Medical Administrators; American Association of Medical Assistants
AAMC,American Association of Medical Clinics; Association of American Medical Colleges
AAMD,American Academy of Medical Directors; American Association of Mental Deficiency
AAME,acetylarginine methyl ester
AAMFT,American Association for Marriage and Family Therapy
AAMI,Association for the Advancement of Medical Instrumentation
AAMIH,American Association for Maternal and Infant Health
AAMMC,American Association of Medical Milk Commissioners
AAMP,American Academy of Maxillofacial Prosthetics; American Academy of Medical Prevention
AAMR,American Academy of Mental Retardation
AAMRL,American Association of Medical Record Librarians
AAMRS,automated ambulatory medical record system
AAMS,acute aseptic meningitis syndrome
AAMSI,American Association for Medical Systems and Informatics
AAMT,American Association for Medical Transcription
AAN,AIDS-associated nephropathy; alpha-amino nitrogen; American Academy of Neurology; American Academy of Nursing; American Academy of Nutrition; American Association of Neuropathologists; amino acid nitrogen; analgesic-associated nephropathy; attending\u0027s admission notes
AANA,American Association of Nurse Anesthetists
AANE,American Association of Nurse Executives
AANM,American Association of Nurse-Midwives
AANPI,American Association of Nurses Practicing Independently
AAO,"American Academy of Osteopathy; American Academy of Ophthalmology; American Academy of Optometry; American Academy of Otolaryngology; American Association of Ophthalmologists; American Association of Orthodontists; amino acid oxidase; ascending aorta; awake, alert, and oriented"
AAo,ascending aorta
A-a O2,alveolo-arterial oxygen tension
AAOC,antacid of choice
AAofA,Ambulance Association of America
AAOHN,American Association of Occupational Health Nurses
AAOM,American Academy of Oral Medicine
AAOO,American Academy of Ophthalmology and Otolaryngology
AAOP,American Academy of Oral Pathology
AAOPP,American Association of Osteopathic Postgraduate Physicians
AAOS,American Academy of Orthopedic Surgeons
AAP,air at atmospheric pressure; American Academy of Pediatrics; American Academy of Pedodontics; American Academy of Periodontology; American Academy of Psychoanalysts; American Academy of Psychotherapists; American Association of Pathologists; Association for the Advancement of Psychoanalysis; Association for the Advancement of Psychotherapy; Association of Academic Physiatrists; Association of American Physicians
AAPA,American Academy of Physician Assistants; American Association of Pathologist Assistants
AAPB,American Association of Pathologists and Bacteriologists
AAPC,antibiotic-associated pseudomembranous colitis
AAPCC,adjusted annual per capita cost; adjusted average per capita cost; American Association of Poison Control Centers
"AaPCO2, (A-a)PCO2",alveolo-arterial carbon dioxide tension difference
AAPF,anti-arteriosclerosis polysaccharide factor
AAPHD,American Association of Public Health Dentists
AAPHP,American Association of Public Health Physicians
AAPL,American Academy of Psychiatry and the Law
AAPM,American Association of Physicists in Medicine
AAPMC,antibiotic-associated pseudomembranous colitis
AAPM&R,American Academy of Physical Medicine and Rehabilitation
"AaPO2, (A-a) PO2",alveolo-arterial oxygen tension difference
AAPP,American Academy on Physician and Patient
AAPPO,American Association of Preferred Provider Organizations
AAPS,American Association of Plastic Surgeons; Arizona Articulation Proficiency Scale; Association of American Physicians and Surgeons
AAR,active avoidance reaction; acute articular rheumatism; antigen-antiglobulin reaction
aar,against all risks
AARE,"automobile accident, rear end"
AAROM,active assertive range of motion; active-assisted range of motion
AARP,American Association of Retired Persons
AART,American Association for Rehabilitation Therapy; American Association for Respiratory Therapy
AAS,Aarskog-Scott [syndrome]; acid aspiration syndrome; alcoholic abstinence syndrome; American Academy of Sanitarians; American Analgesia Society; aneurysm of atrial septum; anthrax antiserum; aortic arch syndrome; atomic absorption spectrophotometry
AASD,American Academy of Stress Disorders
aa seq,amino acid sequence
AASH,adrenal androgen stimulating hormone; American Association for the Study of Headache
AASK,African American Study of Kidney Diseases and Hypertension Pilot Study
AASP,acute atrophic spinal paralysis; American Association of Senior Physicians; ascending aorta synchronized pulsation
AASS,American Association for Social Security
AAT,Aachen Aphasia Test; academic aptitude test; alanine aminotransferase; alkylating agent therapy; alpha-1-antitrypsin; atrial triggered [pacemaker]; auditory apperception test; automatic atrial tachycardia
a1AT,alpha-1-antitrypsin
AATS,American Association for Thoracic Surgery
AAU,acute anterior uveitis
AAV,adeno-associated virus
AAVMC,Association of American Veterinary Medical Colleges
AAVP,American Association of Veterinary Parasitologists
AAW,anterior aortic wall
AB,abdominal; abnormal; abortion; Ace bandage; active bilaterally; aid to the blind; alcian blue; alertness behavior; antibiotic; antibody; antigen binding; apex beat; asbestos body; asthmatic bronchitis; axiobuccal; Bachelor of Arts [Lat. Artium Baccalaureus]; blood group AB
A/B,acid-base ratio
A&B,apnea and bradycardia
A>B,air greater than bone [conduction]
Ab,abortion; antibiotic; antibody
aB,azure B
ab,abortion; antibody; from [Lat.]
3AB,3-aminobenzamide
ABA,abscissic acid; allergic bronchopulmonary aspergillosis; American Board of Anesthesiologists; antibacterial activity; arrest before arrival
ABAT,American Board of Applied Toxicology
ABB,Albright-Butler-Bloomberg [syndrome]; American Board of Bioanalysis
ABBQ,Acquired Immunodeficiency Syndrome Beliefs and Behavior Questionnaire
abbr,"abbreviation, abbreviated"
ABC,"absolute basophil count; absolute bone conduction; acalculous biliary colic; acid balance control; aconite-belladonna-chloroform; airway, breathing, and circulation; alignment, blue, calcium [synovial fluid pearls in gout and pseudogout]; alternative birth center; alum, blood, and charcoal [purification and deodorizing method]; alum, blood, and clay [sludge deodorizing method]; American Blood Commission; aneurysmal bone cyst; antigen-binding capacity; apnea, bradycardia, cyanosis; aspiration biopsy cytology; assessment of basic competency; atomic, biological, and chemical [warfare]; axiobuccocervical"
A&BC,air and bone conduction
ABCC,Atomic Bomb Casualty Commission
ABCD,"airway, breathing, circulation, differential diagnosis (or defibrillate) [in cardiopulmonary resuscitation]; asymmetry, borders are irregular, color variegated, diameter > 6 mm [biopsy in melanoma]"
ABCDE,"airway, breathing, circulation, disability, exposure [in trauma patients]; botulism toxin pentavalent"
ABCDES,"abnormal alignment, bones-periarticular osteoporosis, cartilage-joint space loss, deformities, marginal erosions, soft tissue swelling [x-ray features in rheumatoid arthritis]; adjust medication, bacterial prophylaxis, cervical spine disease, deep vein thrombosis prophylaxis, evaluate extent and activity of disease, stress-dose steroid coverage [preoperative evaluation in rheumatoid diseases]; alignment, bone mineralization, calcifications, distribution of joints, erosions, soft tissue and nails [x-ray features in arthritis]; ankylosis, bone osteoporosis, cartilage destruction, deformity of joints, erosions, swelling of soft tissues [x-ray features of septic arthritis]"
ABCIC,"airway, breathing, circulation, intravenous crystalloid"
ABCIL,antibody-mediated cell-dependent immunolympholysis
ABCN,American Board of Clinical Neuropsychology
ABD,"abdomen; aged, blind, and disabled; aggressive behavioral disturbance; average body dose"
"Abd, abd","abdomen, abdominal; abduct, abduction, abductor"
abdom,"abdomen, abdominal"
ABDPH,American Board of Dental Public Health
ABE,acute bacterial endocarditis; American Board of Endodontics; botulism equine trivalent antitoxin
ABEM,American Board of Emergency Medicine
ABEPP,American Board of Examiners in Professional Psychology
ABER,auditory brainstem evoked response
aber,aberrant
ABF,aortic blood flow; aortobifemoral
ABG,arterial blood gas; axiobucco-gingival
ABI,ankle/brachial index; atherothrombotic brain infarct
ABIC,Adaptive Behavior Inventory for Children
ABIM,American Board of Internal Medicine
ABIMCE,American Board of Internal Medicine certifying examination
ABIT,assertive behavior inventory tool
ABK,aphakic bullous keratopathy
ABL,abetalipoproteinemia; acceptable blood loss; African Burkitt lymphoma; Albright-Butler-Lightwood [syndrome]; angioblastic lymphadenopathy; antigen-binding lymphocyte; Army Biological Laboratory; automated biological laboratory; axiobuccolingual
ABLB,alternate binaural loudness balance
ABM,adjusted body mass; alveolar basement membrane; autologous bone marrow
ABMI,autologous bone marrow transplantation
AbMLV,Abelson murine leukemia virus
ABMM,American Board of Medical Management
ABMS,American Board of Medical Specialties
ABMT,American Board of Medical Toxicology; autologous bone marrow transplantation
AbN,antibody nitrogen
"Abn, abn",abnormal; abnormality(ies)
ABNMP,alpha-benzyl-N-methyl phenethylamine
abnor,abnormal
ABO,"abortion; absent bed occupancy; American Board of Orthodontists; blood group system consisting of groups A, AB, B, and O"
ABOHN,American Board for Occupational Health Nurses
ABOMS,American Board of Oral and Maxillofacial Surgery
ABOP,American Board of Oral Pathology
ABP,actin-binding protein; ambulatory blood pressure; American Board of Pedodontics; American Board of Periodontology; American Board of Prosthodontists; antigen-binding protein; androgen-binding protein; arterial blood pressure; avidin-biotin peroxidase
aBP,arterial blood pressure
ABPA,"actin-binding protein, autosomal form; allergic bronchopulmonary aspergillosis"
ABPC,antibody-producing cell
ABPE,acute bovine pulmonary edema
ABPM&R,American Board of Physical Medicine and Rehabilitation
ABR,abortus Bang ring [test]; absolute bed rest; auditory brainstem response
ABr,agglutination test for brucellosis
"Abr, Abras",abrasion
ABS,"abdominal surgery; acute brain syndrome; Adaptive Behavior Scale; admitting blood sugar; adult bovine serum; aging brain syndrome; alkylbenzene sulfonate; aloin, belladonna, strychnine; American Board of Surgery; amniotic band sequence; amniotic band syndrome; anti-B serum; Antley-Bixler syndrome; arterial blood sample; at bed side"
Abs,absorption
abs,absent; absolute
AB-SAAP,autologous blood selective aortic arch perfusion
absc,abscess; abscissa
abs,conf absolute configuration
ABSe,ascending bladder septum
abs,feb while fever is absent
ABSITE,American Board of Surgery In-Training Examination
absorp,absorption
AbSR,abnormal skin reflex
"abst, abstr",abstract
ABT,autologous blood transfusion
abt,about
ABU,asymptomatic bacteriuria
ABV,actinomycin D-bleomycinvincristine; arthropod-borne virus
ABVD,"Adriamycin, bleomycin, vinblastine, and dacarbazine"
ABW,average body weight
ABY,acid bismuth yeast [medium]
AC,abdominal circumference; abdominal compression; absorption coefficient; abuse case; acetate; acetylcholine; acidified complement; Acinetobacter calcoaceticus; acromioclavicular; activated charcoal; acupuncture clinic; acute; acute cholecystitis; adenocarcinoma; adenylate cyclase; adherent cell; adrenal cortex; adrenocorticoid; air chamber; air conditioning; air conduction; alcoholic cirrhosis; alternating current; alveolar crest; ambulatory care; anesthesia circuit; angiocellular; anodal closure; antecubital; anterior chamber; anterior column; anterior commissure; antibiotic concentrate; anticoagulant; anticomplement; antiphlogistic corticoid; aortic closure; aortocoronary; arm circumference; ascending colon; atriocarotid; axiocervical
A-C,acromioclavicular; adult-versus-child; aortocoronary bypass
A/C,albumin/coagulin [ratio]; anterior chamber of eye; assist control [ventilation]
A2C,apical two-chamber [view]
A4C,apical four-chamber [view]
Ac,accelerator [globulin]; acetate; acetyl; actinium; arabinosyl cytosine
aC,abcoulomb; arabinsyl cytosine
ac,acceleration; acetyl; acid; acromioclavicular; acute; alternating current; antecubital; anterior chamber; atrial contraction; axiocervical
5-AC,azacitidine
ACA,"abnormal coronary artery; acrodermatitis chronica atrophicans; acute cerebellar ataxia; adenocarcinoma; adult child of an alcoholic; American Chiropractic Association; American College of Allergists; American College of Anesthesiologists; American College of Angiology; American College of Apothe- caries; American Council on Alcoholism; aminocephalosporanic acid; ammonia, copper, and acetate; amyotrophic choreo-acanthocytosis; anterior cerebral artery; anterior communicating aneurysm [or artery]; anticardiolipin antibody; anticentromere antibody; anticollagen antibody; anticomplement activity; anticytoplasmic antibody; Automatic Clinical Analyzer"
AC/A,accommodative convergence/accommodation [ratio]
ACAAI,"American College of Allergy, Asthma and Immunology"
ACAC,acetyl-coenzyme A cocarboxylase; activated charcoal artificial cell
ACACN,American Council of Applied Clinical Nutrition
ACACT,acyl-coenzyme A:cholesterol acyl transferase
ACAD,asymptomatic coronary artery disease
Acad,academy
A-CAH,autoimmune chronic active hepatitis
ACAO,acyl coenzyme A oxidase
ACAT,acetocoenzyme A acetyltransferase; automated computerized axial tomography
ACB,antibody-coated bacteria; aortocoronary bypass; arterialized capillary blood; asymptomatic carotid bruit
ACBaE,air contrast barium enema
AC/BC,air conduction/bone conduction [time ratio]
ACBE,air contrast barium enema
ACBG,aortocoronary bypass graft
ACC,accommodation; acetyl coenzyme A carboxylase; acinic cell carcinoma; acute care center; adenoid cystic carcinoma; administrative control center; adrenocortical carcinoma; alveolar cell carcinoma; ambulatory care center; American College of Cardiology; anodal closure contraction; anterior cingulate cortex; antitoxin-containing cell; aplasia cutis congenita; articular chondrocalcinosis; automated cell count; automated cell counter
Acc,adenoid cystic carcinoma; acceleration
acc,"acceleration, accelerator; accident; accommodation"
ACCA,American College of Cardiovascular Administrators
ACCE,American College of Clinical Engineering
ACCESS,Ambulatory Care Clinic Effectiveness Systems Study; automated cervical cell screening system
ACCH,Association for the Care of Children\u0027s Health
AcCh,acetylcholine
AcChR,acetylcholine receptor
AcCHS,acetylcholinesterase
accid,"accident, accidental"
acc,insuff accommodation insufficiency
"ACCL, Accl",anodal closure clonus
ACCME,Accreditation Council for Continuing Medical Education
AcCoA,acetyl coenzyme A
accom,accommodation
ACCP,American College of Chest Physicians; American College of Clinical Pharmacology; American College of Clinical Pharmacy
ACCR,amylase-creatinine clearance ratio
accum,accumulation
accur,accurately [lat. accuratissime]
ACD,absolute cardiac dullness; absolute claudication distance; acid-citrate-dextrose [solution]; actinomycin D; active compression-decompression; adult celiac disease; advanced care directive; allergic contact dermatitis; American College of Dentists; angiokeratoma corporis diffusum; anterior chest diameter; anticoagulant citrate dextrose; area of cardiac dullness
"AC-DC, ac/dc",alternating current or direct current
ACD-CPR,active compression-decompression cardiopulmonary resuscitation
ACD-PCR,active compression-decompression post-compression remodeling
ACE,"acetonitrile; acetylcholine esterase; acute cerebral encephalopathy; acute coronary event; adrenocortical extract; alcohol, chloroform, and ether; angiotensin-converting enzyme"
ace,acentric; acetone
ACED,anhydrotic congenital ectodermal dysplasia
ACEDS,angiotensin-converting enzyme dysfunction syndrome
ACEH,acid cholesterol ester hydrolase
ACEI,angiotensin-converting enzyme inhibitor
ACEP,American College of Emergency Physicians
AcEst,acetyl esterase
"ACET, acet",acetone; vinegar [Lat. acetum]
acetab,"acetabular, acetabulum"
acetyl-CoA,acetyl coenzyme A
ACF,accessory clinical findings; acute care facility; anterior cervical fusion; area correction factor; asymmetric crying facies
ACFAO,American College of Foot and Ankle Orthopedics and Medicine
ACFAS,American College of Foot and Ankle Surgeons
ACET,Advisory Committee for the Elimination of Tuberculosis
ACG,"accelerator globulin; alternative care grant; ambulatory care group; American College of Gastroenterology; angiocardiography, angiocardiogram; aortocoronary graft; apexcardiogram"
"AC-G, AcG, ac-g",accelerator globulin
ACGIH,American Conference of Governmental Industrial Hygienists
ACGME,Accreditation Council for Graduate Medical Education
ACGP,American College of General Practitioners
ACGPOMS,American College of General Practitioners in Osteopathic Medicine and Surgery
ACGT,antibody-coated grid technique
ACH,"acetylcholine; achalasia; active chronic hepatitis; adrenocortical hormone; amyotrophic cerebellar hypoplasia; arm girth, chest depth, and hip width [nutritional index]"
ACh,acetylcholine
ACHA,American College of Hospital Administrators
AChA,anterior choroidal artery
ACHE,American College of Healthcare Executives; American Council for Headache Education
AChE,acetylcholinesterase
ACHOO,autosomal dominant compelling helio-ophthalmic outburst [syndrome]
ACHPR,Agency for Health Care Policy and Research
AChR,acetylcholine receptor
AChRAb,acetylcholine receptor antibody
AChRP,acetylcholine receptor protein
ACI,acceleration index; acoustic comfort index; acute cardiac ischemia; acute coronary infarction; acute coronary insufficiency; adenylate cyclase inhibitor; adrenocortical insufficiency; anticlonus index
ACID,"Arithmetic, Coding, Information, and Digit Span; automatic implantable cardioverter defibrillator"
ACIF,anticomplement immunofluorescence
ACIP,acute canine idiopathic polyneuropathy; Advisory Committee on Immunization Practices [CDC]
ACIR,Automotive Crash Injury Research
ACI-TIPI,acute cardiac ischemia-time insensitive predictive instrument
AcK,francium [actinium K]
ACKD,acquired cystic kidney disease
ACL,"Achievement Check List; acromegaloid features, cutis verticis gyrata, corneal leukoma [syndrome]; anterior cruciate ligament"
ACl,aspiryl chloride
aCL,anticardiolipin [antibody]
ACLA,American Clinical Laboratory Association
ACLC,Assessment of Children\u0027s Language Comprehension
ACLD,Association for Children with Learning Disabilities
ACLF,adult congregate living facility
ACLI,American Council on Life Insurance
ACLM,American College of Legal Medicine
ACLPS,Academy of Clinical Laboratory Physicians and Scientists
ACLR,anterior capsulolabral reconstruction
ACLS,advanced cardiac life support; Assessment of Children\u0027s Language Comprehension
AcLV,avian acute leukemia virus
ACM,"acetaminophen; acute cerebrospinal meningitis; Adriamycin, cyclophosphamide, methotrexate; albumin- calcium-magnesium; alveolar capillary membrane; anticardiac myosin; Arnold-Chiari malformation"
ACMA,American Occupational Medical Association
ACMC,Association of Canadian Medical Colleges
ACMD,associate chief medical director
ACME,Advisory Council on Medical Education; Automated Classification of Medical Entities
ACMF,arachnoid cyst of the middle fossa
ACMI,American College of Medical Informatics
ACML,atypical chronic myeloid leukemia
ACMP,alveolar-capillary membrane permeability
ACMR,Advisory Committee on Medical Research
ACMS,American Chinese Medical Society
ACMT,artificial circus movement tachycardia
ACMV,assist-controlled mechanical ventilation
ACN,acute conditioned neurosis; Ambulatory Care Network; American College of Neuropsychiatrists; American College of Nutrition
ACNM,American College of Nuclear Medicine; American College of Nurse-Midwives
ACNP,acute care nurse practitioner; American College of Nuclear Physicians
ACO,"acute coronary occlusion; alert, cooperative, and oriented; anodal closure odor"
ACOA,adult children of alcoholics
ACoA,anterior communicating artery
ACOEM,American College of Occupational and Environmental Medicine
ACOEP,American College of Osteopathic Emergency Physicians
ACOG,American College of Obstetricians and Gynecologists
